date,ward_id,hotspots,hotspots_48h,pm25_coverage,pm25_mean,pm25_mean_7d,pm25_slope_7d,humidity_mean,humidity_7d,humidity_trend_7d,temp_max,wind_max,precipitation_sum,days_since_rain,green_cover_pct,market_flag,income_ord,festival_window,doy_sin,doy_cos,burn_day,split_year
2022-08-12,bhosari,0,0.0,1.0,4.308333333333334,4.235119047619048,-1.0908208020050125,85,88.42857142857143,-0.42857142857142855,26.2,37.4,5.7,0,10,0,0,0,-0.65316012232693,-0.7572198192083127,0,2022
2022-08-13,bhosari,0,0.0,1.0,4.683333333333334,3.9452380952380954,-0.2898809523809523,85,87.42857142857143,-1.0,26.1,30.0,6.5,0,10,0,0,0,-0.666088855860977,-0.7458723993404063,0,2022
2022-08-14,bhosari,0,0.0,1.0,5.904166666666666,3.914285714285714,-0.030952380952380842,85,86.85714285714286,-0.5714285714285714,26.4,28.7,2.6,0,10,0,0,0,-0.6788204829862355,-0.734304263829602,0,2022
2022-08-15,bhosari,0,0.0,1.0,4.120833333333334,4.214880952380953,0.30059523809523797,88,86.28571428571429,-0.5714285714285714,24.8,27.6,9.9,0,10,0,0,0,-0.6913512362094071,-0.722518835873311,0,2022
2022-08-16,bhosari,0,0.0,1.0,4.345833333333333,4.3446428571428575,0.1297619047619048,89,86.14285714285714,-0.14285714285714285,24.7,27.2,18.1,0,10,0,0,0,-0.7036774074790128,-0.7105196029692745,0,2022
2022-08-17,bhosari,0,0.0,1.0,4.154166666666667,4.523809523809524,0.17916666666666664,85,86.28571428571429,0.14285714285714285,26.1,28.0,3.0,0,10,0,0,0,-0.7157953492826642,-0.6983101158835584,0,2022
2022-08-18,bhosari,0,0.0,1.0,7.345833333333334,4.516071428571428,-0.0077380952380951785,84,86.14285714285714,-0.14285714285714285,26.8,27.7,1.5,0,10,0,0,0,-0.7277014757264236,-0.6858939875998223,0,2022
2022-08-19,bhosari,0,0.0,1.0,6.075,4.980357142857143,0.4642857142857144,85,85.85714285714286,-0.2857142857142857,26.6,26.3,2.3,0,10,0,0,0,-0.7393922635959241,-0.673274892250183,0,2022
2022-08-20,bhosari,0,0.0,1.0,6.0874999999999995,5.232738095238096,0.2523809523809524,85,85.85714285714286,0.0,26.6,26.8,1.5,0,10,0,0,0,-0.7508642533989489,-0.6604565640279754,0,2022
2022-08-21,bhosari,0,0.0,1.0,6.970833333333334,5.433333333333333,0.200595238095238,85,85.85714285714286,0.0,26.6,27.0,1.5,0,10,0,0,0,-0.7621140503891487,-0.6474427960827475,0,2022
